Consumption Member_Indicator
1288.48734465242 1
1256.68846896142 1
1428.30139451053 1
1331.4162974467 1
1492.44387946741 1
1555.65891138499 1
1326.65784329606 1
1461.19172095857 1
1405.36732650351 1
1477.62151792519 1
1171.79403749522 1
1473.2484437157 1
1500.72960204549 1
1357.73666509685 1
1513.93481341818 1
1240.89255752663 1
1463.63496466488 1
1346.74275944787 1
1370.30040759792 1
1446.96674744047 1
1397.75442535662 1
1459.94010696213 1
1358.40818805169 1
1594.31290068325 1
1418.44398824796 1
1537.81423677484 1
1456.23858453189 1
1416.85968279367 1
1413.47276226467 1
1412.90950697433 1
1413.30763197157 1
1547.67974056158 1
1243.30490616179 1
1304.30506755256 1
1329.81488872346 1
1501.33254747573 1
1304.69694991855 1
1234.74328352359 1
1368.20848962176 1
1492.39848283699 1
1452.48424221878 1
1414.74302647365 1
1390.95338243834 1
1347.14169738955 1
1484.97734812054 1
1379.63429043777 1
1398.22780555023 1
1583.35608474182 1
1227.19942496241 1
1451.39463638214 1
1372.99808664416 1
1361.31670199449 1
1611.21044104221 1
1417.9770003431 1
1381.48994299196 1
1470.73621043065 1
1385.47880820331 1
1267.90160709951 1
1424.75493118292 1
1434.47891718258 1
1420.08351069885 1
1510.21772677487 1
1301.1320531778 1
1532.43010966347 1
1402.86214869767 1
1184.83719089083 1
1460.31233798609 1
1450.77312026393 1
1518.24022145685 1
1358.64425264042 1
1419.89437880278 1
1404.58565175395 1
1292.72212335825 1
1229.61841461448 1
1318.06773672844 1
1438.16325776312 1
1412.69562635836 1
1337.53712361296 1
1478.03521272937 1
1383.05548468395 1
1428.04976201728 1
1425.41288977253 1
1382.11044203253 1
1484.28888412348 1
1413.71817527854 1
1418.20936171266 1
1352.88967047086 1
1358.76201233953 1
1144.43259229567 1
1576.57470378769 1
1251.82215955989 1
1369.58150833591 1
1263.7757028775 1
1575.32651917955 1
1268.99642833801 1
1468.1642650858 1
1462.99670729668 1
1580.51832756656 1
1326.37313797101 1
1296.46641926076 1
1547.85363973736 1
1438.94828398419 1
1370.16150363133 1
1431.75083261227 1
1419.77258571432 1
1251.25190355104 1
1366.66056254267 1
1400.92927937449 1
1431.3145700015 1
1310.04419050625 1
1387.19368163779 1
1443.04396361233 1
1482.36865663584 1
1326.07192834023 1
1573.51043399473 1
1381.41455847154 1
1531.99386068138 1
1335.89109429494 1
1586.27725291047 1
1346.79062268898 1
1333.04580738495 1
1260.50796092115 1
1527.59474301119 1
1394.9402593064 1
1456.45043676906 1
1503.40460340358 1
1368.09303917247 1
1197.09165256332 1
1295.70887182851 1
1196.87505334545 1
1410.61005677031 1
1571.63970009742 1
1285.31030814039 1
1525.29339223788 1
1476.2583230771 1
1492.25275213096 1
1558.88120708938 1
1615.7960588484 1
1254.7641238695 1
1469.06736054376 1
1414.78524080807 1
1231.97553901444 1
1469.91705096514 1
1444.0002978392 1
1406.65592515103 1
1577.24719900325 1
1558.12828372671 1
1562.22637774718 1
1568.55267161657 1
1378.9493849395 1
1320.63876570082 1
1385.17426354935 1
1448.95555198858 1
1550.45773205009 1
1238.26315705068 1
1425.90240731309 1
1410.40516375576 1
1342.69319238442 1
1263.12178184249 1
1298.70419479141 1
1443.04921115631 1
1420.82403026599 1
1302.83623233547 1
1268.06926431884 1
1284.81700657401 1
1338.91092450367 1
1443.91558303886 1
1251.47165353881 1
1400.48934376868 1
1361.40305845901 1
1502.8885823946 1
1314.57981690605 1
1263.66720140016 1
1388.09969555005 1
1594.52743660688 1
1329.30298055183 1
1479.93584715115 1
1158.60037231711 1
1345.46256386366 1
1432.32458030787 1
1378.01651777773 1
1387.30776815895 1
1359.5436605953 1
1442.5540932995 1
1248.20246336927 1
1392.12708825384 1
1336.36557946416 1
1491.99016372908 1
1425.31780273341 1
1363.8902697145 1
1554.61485619725 1
1445.3882042265 1
1389.7600546899 1
1320.0335559538 1
1419.13038837729 1
1537.85160898188 1
1297.34105762553 1
1332.86025829365 1
1562.46629917919 1
1295.4028115196 1
1327.22975403776 1
1429.26379395803 1
1340.69866939245 1
1203.37187885698 1
1290.95039862266 1
1523.73540216199 1
1335.12026953373 1
1375.51624353949 1
1388.77493307201 1
1516.55315429265 1
1399.95586294125 1
1267.31977693484 1
1304.50403002487 1
1348.37170054962 1
1545.79983262267 1
1329.41931432141 1
1259.33786803941 1
1487.23741192547 1
1279.4335095153 1
1384.74540905087 1
1339.42966172638 1
1439.09087945621 1
1409.79567745251 1
1381.88912738503 1
1420.6954994899 1
1393.79841701148 1
1364.45785928052 1
1363.98602399406 1
1406.62454021972 1
1449.13905409996 1
1419.12347948401 1
1404.76208503433 1
1412.26788922255 1
1260.50218112727 1
1357.63149441496 1
1249.74797456112 1
1467.84608811208 1
1397.67479711027 1
1454.99436652219 1
1499.80803838855 1
1405.19234640619 1
1512.03690597817 1
1494.1042723205 1
1531.53584738917 1
1388.18874842519 1
1236.15828778264 1
1317.26302110842 1
1521.94130536164 1
1463.46107109094 1
1379.94610194497 1
1478.56834728798 1
1394.58587111687 1
1444.58568454801 1
1280.90417748194 1
1410.15374840769 1
1399.62656699657 1
1502.10117307017 1
1455.23928001507 1
1531.14500956983 1
1351.60896442623 1
1340.71478437482 1
1429.48269403812 1
1501.15482780035 1
1351.74857623656 1
1357.76054833032 1
1437.28071139265 1
1238.15022931407 1
1357.76674804738 1
1416.46925113951 1
1527.73698029113 1
1334.04662355254 1
1351.34905205815 1
1522.50275753706 1
1379.52106026842 1
1578.22971031373 1
1508.64626396093 1
1270.67472698427 1
1542.03906822879 1
1357.63306487953 1
1550.48268147795 1
1500.16809932164 1
1344.73476005415 1
1402.87699984405 1
1367.08323006414 1
1425.02284122632 1
1404.01932752171 1
1553.31866464235 1
1385.07902177587 1
1304.42859363444 1
1402.73976032518 1
1399.63746127024 1
1345.94219874479 1
1601.52684324419 1
1375.39446115469 1
1314.10699522842 1
1417.96790517926 1
1415.69558135788 1
1354.96498917248 1
1449.72939673248 1
1317.17617686966 1
1464.80735922628 1
1330.22358786935 1
1418.3782749241 1
1248.19849618986 1
1555.83314519154 1
1251.55713645765 1
1461.01651878902 1
1533.32870578003 1
1384.39219038504 1
1336.3084156829 1
1334.70572219428 1
1484.00727662482 1
1406.37242744829 1
1305.53888255572 1
1469.51919968266 1
1168.83085557006 1
1464.40872665628 1
1425.69293691287 1
1249.45852149805 1
1536.47642293812 1
1371.03375900521 1
1291.38761898721 1
1408.90156802875 1
1517.32250359858 1
1483.05581483602 1
1442.77428449845 1
1267.14446512589 1
1291.92682837753 1
1342.48784746821 1
1390.76091316826 1
1471.33834496967 1
1483.22377682677 1
1523.33827057058 1
1209.73963223359 1
1370.04298389789 1
1361.20466094334 1
1316.38111229933 1
1286.12280434178 1
1441.75105660672 1
1455.39239489945 1
1428.316934889 1
1296.60203641878 1
1480.81954911781 1
1515.67823861638 1
1408.92976081462 1
1424.64912871611 1
1499.09249384353 1
1484.3596462568 1
1467.06174329248 1
1436.85991104868 1
1483.16406152127 1
1475.91582520006 1
1410.73687764563 1
1468.50561578603 1
1403.75138866242 1
1065.40641263338 1
1327.56765944356 1
1438.06435341071 1
1488.82902092071 1
1435.63633948543 1
1513.53128586747 1
1404.77582235314 1
1388.79404574459 1
1417.61345861203 1
1310.12677722355 1
1377.73201461588 1
1331.10808401702 1
1515.02775056685 1
1485.41046015053 1
1352.38513415242 1
1418.1683766661 1
1419.26063841719 1
1389.88705491913 1
1248.16218010851 1
1290.44134707377 1
1356.46967551475 1
1517.36829928949 1
1383.64244782148 1
1364.70734547498 1
1378.0451762545 1
1412.70948325511 1
1402.33616225864 1
1315.34757895862 1
1283.61229250073 1
1371.07637713833 1
1457.45132962447 1
1513.76705389632 1
1575.49669524481 1
1476.69870839809 1
1445.76299759938 1
1348.10044274096 1
1419.19948184957 1
1303.05597798262 1
1290.61530618479 1
1333.74764684591 1
1413.64166646553 1
1290.02917564765 1
1430.30700328504 1
1552.95863151416 1
1386.0133714116 1
1370.92031564722 1
1471.08045844624 1
1443.97001014341 1
1326.85645901967 1
1495.34306293133 1
1301.11462478141 1
1355.3210860777 1
1304.40614693319 1
1331.03443875536 1
1393.58972343589 1
1207.03306915506 1
1363.40393090672 1
1366.0071968044 1
1480.53357580882 1
1300.18330584569 1
1444.96300954039 1
1666.46176494766 1
1507.65220371098 1
1323.16044179849 1
1541.43791976628 1
1429.71286860457 1
1332.45157735634 1
1613.3986453793 1
1453.19031059334 1
1470.18435543648 1
1241.87522718111 1
1454.07601805258 1
1554.32868429197 1
1370.36117033406 1
1222.70115644196 1
1223.31492687143 1
1446.85013035098 1
1361.06814092402 1
1397.77960558473 1
1386.09061797401 1
1407.08130231141 1
1370.58179294297 1
1563.89953033802 1
1451.39799468144 1
1455.90137953351 1
1288.55004387338 1
1372.92122030536 1
1479.39877743792 1
1280.74648341919 1
1539.19088453974 1
1110.97826096484 1
1467.33811306835 1
1326.11149713743 1
1399.35125068004 1
1353.57414201341 1
1206.36801687187 1
1542.25871137768 1
1308.18308218022 1
1365.88384913008 1
1471.73203377427 1
1567.39409313118 1
1477.1486985213 1
1262.20119109021 1
1465.82851480415 1
1255.0598133858 1
1379.60742739282 1
1593.8923122261 1
1339.98502730843 1
1296.73605723478 1
1427.84394988452 1
1315.6912841923 1
1289.6943239674 1
1404.34829193128 1
1208.54031491591 1
1539.35321512152 1
1419.62921470997 1
1448.91132997481 1
1412.67399576604 1
1502.46136025366 1
1327.19539842812 1
1383.96615177176 1
1290.85105247478 1
1445.94029115255 1
1465.57615021494 1
1366.40885682576 1
1423.81692729674 1
1556.49397583844 1
1235.45663717754 1
1378.09470228916 1
1380.40188142572 1
1367.86894259744 1
1491.59751516271 1
1298.7669282627 1
1360.78448620735 1
1522.42672607596 1
1431.18216923488 1
1340.16345614947 1
1392.85823115971 1
1464.40133040192 1
1394.14829677208 1
1419.00297179603 1
1438.67310764343 1
1470.49805661632 1
1324.60532191023 1
1217.64073477809 1
1429.01339859263 1
1321.46313419737 1
1222.70135884541 1
1405.59616148447 1
1384.65841026088 1
1455.8065482697 1
1396.17704897605 1
1309.85808951725 1
1420.86263666906 1
1338.79790137256 1
1500.17795290484 1
1337.31633802759 1
1314.94284708197 1
1440.44013755088 1
1359.05781395482 1
1469.63380884375 1
1325.29877399065 1
1343.69628231461 1
1397.13324913504 1
1246.13815128476 1
1294.47690700795 1
1242.91076356045 1
1473.08004059193 1
1672.01962309591 1
1440.64915673343 1
1367.47517807944 1
1354.63794044191 1
1644.96145921463 1
1446.18110200881 1
1394.84013401711 1
1433.85493314199 1
1377.86102703991 1
1462.47413980539 1
1364.26975528764 1
1393.72531609099 1
1248.8966893267 1
1234.06367053638 1
1691.5387692576 1
1479.90789497783 1
1449.7832796899 1
1267.40496370254 1
1356.3673251514 1
1467.29540572598 1
1597.62255971977 1
1357.84118322171 1
1287.42698795552 1
1259.20411463446 1
1380.21707806206 1
1266.1078966018 1
1498.51817653972 1
1361.85878339199 1
1442.94940167338 1
1572.18273262587 1
