"dim_1" "dim_2"
"sample_1" 4 7
"sample_2" 8 3
"sample_3" 5 10
"sample_4" 10 4
"sample_5" 6 11
"sample_6" 9 6
"sample_7" 6 4
"sample_8" 8 5
"sample_9" 2 15
"sample_10" 3 13
"sample_11" 5 8
"sample_12" 8 4
"sample_13" 6 17
"sample_14" 8 3
"sample_15" 8 4
"sample_16" 6 13
"sample_17" 7 11
"sample_18" 10 5
"sample_19" 9 3
"sample_20" 7 5
"sample_21" 6 9
"sample_22" 5 12
"sample_23" 8 1
"sample_24" 10 1
"sample_25" 10 6
"sample_26" 9 3
"sample_27" 8 4
"sample_28" 8 5
"sample_29" 6 8
"sample_30" 6 7
"sample_31" 6 11
"sample_32" 9 1
"sample_33" 7 6
"sample_34" 4 12
"sample_35" 2 13
"sample_36" 9 5
"sample_37" 6 11
"sample_38" 8 0
"sample_39" 8 4
"sample_40" 8 5
"sample_41" 2 18
"sample_42" 5 4
"sample_43" 6 11
"sample_44" 10 5
"sample_45" 9 5
"sample_46" 7 1
"sample_47" 7 5
"sample_48" 8 7
"sample_49" 8 3
"sample_50" 9 4
"sample_51" 10 5
"sample_52" 7 3
"sample_53" 7 11
"sample_54" 8 7
"sample_55" 8 6
"sample_56" 5 9
"sample_57" 9 3
"sample_58" 4 8
"sample_59" 8 8
"sample_60" 7 4
"sample_61" 9 5
"sample_62" 3 17
"sample_63" 10 3
"sample_64" 6 9
"sample_65" 9 2
"sample_66" 9 3
"sample_67" 9 6
"sample_68" 9 1
"sample_69" 9 6
"sample_70" 9 4
"sample_71" 9 2
"sample_72" 6 6
"sample_73" 10 4
"sample_74" 7 2
"sample_75" 5 8
"sample_76" 10 7
"sample_77" 4 10
"sample_78" 6 4
"sample_79" 7 3
"sample_80" 7 3
"sample_81" 6 9
"sample_82" 10 5
"sample_83" 4 9
"sample_84" 7 2
"sample_85" 4 7
"sample_86" 4 9
"sample_87" 2 16
"sample_88" 1 10
"sample_89" 8 6
"sample_90" 9 4
"sample_91" 2 9
"sample_92" 9 4
"sample_93" 8 3
"sample_94" 8 4
"sample_95" 0 17
"sample_96" 8 5
"sample_97" 4 7
"sample_98" 5 12
"sample_99" 10 4
"sample_100" 9 6
"sample_101" 4 5
"sample_102" 4 9
"sample_103" 3 19
"sample_104" 9 3
"sample_105" 6 7
"sample_106" 7 1
"sample_107" 5 10
"sample_108" 7 3
"sample_109" 6 8
"sample_110" 2 15
"sample_111" 3 19
"sample_112" 8 3
"sample_113" 7 3
"sample_114" 6 11
"sample_115" 10 6
"sample_116" 8 4
"sample_117" 1 16
"sample_118" 10 4
"sample_119" 3 8
"sample_120" 8 3
"sample_121" 5 10
"sample_122" 8 6
"sample_123" 8 1
"sample_124" 5 11
"sample_125" 1 16
"sample_126" 7 9
"sample_127" 7 10
"sample_128" 9 4
"sample_129" 9 4
"sample_130" 8 9
"sample_131" 9 3
"sample_132" 3 7
"sample_133" 4 12
"sample_134" 9 2
"sample_135" 8 6
"sample_136" 7 10
"sample_137" 7 6
"sample_138" 8 8
"sample_139" 7 5
"sample_140" 8 5
"sample_141" 9 3
"sample_142" 6 13
"sample_143" 6 2
"sample_144" 8 14
"sample_145" 4 8
"sample_146" 9 6
"sample_147" 9 3
"sample_148" 8 11
"sample_149" 5 8
"sample_150" 8 5
"sample_151" 5 12
"sample_152" 9 6
"sample_153" 8 4
"sample_154" 10 2
"sample_155" 9 4
"sample_156" 8 4
"sample_157" 9 3
"sample_158" 7 11
"sample_159" 6 7
"sample_160" 7 7
"sample_161" 1 9
"sample_162" 8 2
"sample_163" 6 2
"sample_164" 10 3
"sample_165" 8 2
"sample_166" 7 4
"sample_167" 7 12
"sample_168" 3 16
"sample_169" 8 2
"sample_170" 10 5
"sample_171" 8 5
"sample_172" 9 5
"sample_173" 9 2
"sample_174" 10 7
"sample_175" 8 3
"sample_176" 7 11
"sample_177" 1 17
"sample_178" 5 12
"sample_179" 1 17
"sample_180" 8 5
"sample_181" 6 5
"sample_182" 6 7
"sample_183" 4 12
"sample_184" 6 3
"sample_185" 7 3
"sample_186" 8 6
"sample_187" 8 1
"sample_188" 9 5
"sample_189" 5 3
"sample_190" 4 10
"sample_191" 9 5
"sample_192" 9 4
"sample_193" 2 17
"sample_194" 5 8
"sample_195" 9 9
"sample_196" 8 3
"sample_197" 6 11
"sample_198" 8 3
"sample_199" 9 5
"sample_200" 10 4
"sample_201" 6 7
"sample_202" 6 4
"sample_203" 5 11
"sample_204" 8 2
"sample_205" 6 11
"sample_206" 2 9
"sample_207" 5 16
"sample_208" 3 13
"sample_209" 8 3
"sample_210" 9 2
"sample_211" 7 10
"sample_212" 7 5
"sample_213" 9 5
"sample_214" 2 13
"sample_215" 9 4
"sample_216" 8 4
"sample_217" 7 2
"sample_218" 4 13
"sample_219" 8 5
"sample_220" 8 1
"sample_221" 8 2
"sample_222" 0 13
"sample_223" 7 6
"sample_224" 8 2
"sample_225" 9 2
"sample_226" 9 1
"sample_227" 7 9
"sample_228" 1 16
"sample_229" 4 14
"sample_230" 10 2
"sample_231" 6 9
"sample_232" 8 3
"sample_233" 8 3
"sample_234" 4 8
"sample_235" 9 8
"sample_236" 10 7
"sample_237" 7 7
"sample_238" 10 2
"sample_239" 9 8
"sample_240" 8 6
"sample_241" 7 6
"sample_242" 8 6
"sample_243" 6 4
"sample_244" 2 17
"sample_245" 8 5
"sample_246" 6 11
"sample_247" 0 12
"sample_248" 4 17
"sample_249" 5 7
"sample_250" 0 14
"sample_251" 10 4
"sample_252" 6 2
"sample_253" 7 3
"sample_254" 5 9
"sample_255" 4 12
"sample_256" 2 17
"sample_257" 2 19
"sample_258" 8 8
"sample_259" 6 6
"sample_260" 9 4
"sample_261" 4 6
"sample_262" 9 3
"sample_263" 8 3
"sample_264" 5 8
"sample_265" 6 12
"sample_266" 5 12
"sample_267" 7 0
"sample_268" 10 7
"sample_269" 8 4
"sample_270" 10 4
"sample_271" 5 8
"sample_272" 4 10
"sample_273" 6 4
"sample_274" 9 4
"sample_275" 4 13
"sample_276" 4 9
"sample_277" 7 12
"sample_278" 8 2
"sample_279" 8 3
"sample_280" 9 3
"sample_281" 7 4
"sample_282" 7 2
"sample_283" 8 7
"sample_284" 8 5
"sample_285" 7 7
"sample_286" 7 4
"sample_287" 2 11
"sample_288" 4 10
"sample_289" 6 14
"sample_290" 8 3
"sample_291" 6 7
